loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4635697937011718,18.47537612915039,4.8367952522255196e-05,0.6666666666666666,50,,,,,,,,,,,,,
,,,1.0,75,0.7205693125724792,0.759573958831977,0.759573958831977,0.759573958831977,0.759573958831977,3.0787,16.241,8.12,,,,,
0.8945296478271484,15.313904762268066,4.094955489614243e-05,1.3333333333333333,100,,,,,,,,,,,,,
0.766299057006836,17.141756057739258,3.3531157270029676e-05,2.0,150,,,,,,,,,,,,,
,,,2.0,150,0.6706084609031677,0.77501196744854,0.77501196744854,0.77501196744854,0.77501196744854,3.4493,14.496,7.248,,,,,
0.5710335540771484,19.159833908081055,2.6112759643916916e-05,2.6666666666666665,200,,,,,,,,,,,,,
,,,3.0,225,0.5645138025283813,0.7920057443752991,0.7920057443752991,0.7920057443752991,0.7920057443752991,3.2265,15.497,7.748,,,,,
0.4341011047363281,9.541400909423828,1.8694362017804153e-05,3.3333333333333335,250,,,,,,,,,,,,,
0.38884078979492187,63.85786056518555,1.1275964391691394e-05,4.0,300,,,,,,,,,,,,,
,,,4.0,300,0.5691899657249451,0.8215653422690282,0.8215653422690282,0.8215653422690282,0.8215653422690282,3.2397,15.434,7.717,,,,,
0.25857418060302734,11.551097869873047,3.857566765578635e-06,4.666666666666667,350,,,,,,,,,,,,,
,,,5.0,375,0.5996283888816833,0.8231211105792245,0.8231211105792245,0.8231211105792245,0.8231211105792245,3.1522,15.862,7.931,,,,,
,,,5.0,375,,,,,,,,,300.9072,2.476,1.246,196385980707840.0,0.6519012006123861
,,,5.0,375,0.5645138025283813,0.7920057443752991,0.7920057443752991,0.7920057443752991,0.7920057443752991,3.2573,15.35,7.675,,,,,
